action,old_path,new_path,notes
KEEP,index.html,/index.html,Homepage catalog (from root index.html). Already at correct root path.
MOVE,intake.html,/instructors/intake.html,Assessment intake page to instructors area per spec 5.2.
MOVE,syllabus-overview.html,/instructors/syllabus-overview.html,Syllabus overview to instructors area.
KEEP,courses.json,/courses.json,Does NOT yet exist; to be authored in M3 as catalog manifest.
KEEP,shared/glossary.css,/shared/glossary.css,Shared glossary styles; root shared/ is source of truth.
KEEP,shared/glossary.js,/shared/glossary.js,Shared glossary behavior.
KEEP,shared/print.css,/shared/print.css,Shared print stylesheet.
KEEP,shared/progress.js,/shared/progress.js,Shared progress tracking.
MOVE,VUB Logo.png,/assets/VUB Logo.png,Brand logo 1.88MB; source for logo derivatives + favicon. Only ONE logo file exists.
MOVE,VUB Financial Readiness Course/financial-readiness.html,/courses/financial-readiness/financial-readiness.html,FR single-page course app.
MOVE,VUB Financial Readiness Course/course-description.html,/courses/financial-readiness/course-description.html,Course description page.
MOVE,VUB Financial Readiness Course/course-description.pdf,/courses/financial-readiness/course-description.pdf,Course description PDF.
MOVE,VUB Financial Readiness Course/syllabus.html,/courses/financial-readiness/syllabus.html,FR syllabus (course-facing).
MOVE,VUB Financial Readiness Course/syllabus.pdf,/courses/financial-readiness/syllabus.pdf,FR syllabus PDF.
MOVE,VUB Financial Readiness Course/syllabus-one-page.pdf,/courses/financial-readiness/syllabus-one-page.pdf,One-page syllabus PDF.
MOVE,VUB Financial Readiness Course/module4-income-stack-chart-preview.html,/courses/financial-readiness/module4-income-stack-chart-preview.html,Module 4 chart preview page.
MOVE,VUB Financial Readiness Course/student-upload-instructions.html,/courses/financial-readiness/student-upload-instructions.html,Student upload instructions (also in build REQUIRED_ITEMS).
MOVE,VUB Financial Readiness Course/css/styles.css,/courses/financial-readiness/css/styles.css,FR course styles.
MOVE,VUB Financial Readiness Course/js/script.js,/courses/financial-readiness/js/script.js,FR course script.
MOVE,VUB Financial Readiness Course/weekly-curriculum/,/courses/financial-readiness/weekly-curriculum/,7 dated week folders + 3 collection MDs; FR cohort curriculum (move whole).
MOVE,VUB Financial Readiness Course/videos/,/courses/financial-readiness/videos/,Module videos + thumbnails + NotebookLM videos; large media may be stripped from deploy.
MOVE,VUB Financial Readiness Course/templates/vub-assessment-results-tracker.csv,/courses/financial-readiness/templates/vub-assessment-results-tracker.csv,Assessment results tracker template.
EXCLUDE,VUB Financial Readiness Course/404.html,,404 fallback is a deploy-root concern; re-author at platform root in M3. Flagged.
EXCLUDE,VUB Financial Readiness Course/index.html,,FR-subrepo homepage; duplicate of root index.html (deploy entry). Root is source of truth.
EXCLUDE,VUB Financial Readiness Course/intermediate-computer-skills.html,,ICS dashboard duplicate; keep ONE under /courses/computer-skills/ (see ICS section). Flagged.
RENAME,VUB Financial Readiness Course/📘 Assessments/,/courses/financial-readiness/assessments/,10 items pre/post-test html+pdf answer-keys forms submit-tests SETUP-GOOGLE-FORMS.md. emoji to kebab.
RENAME,VUB Financial Readiness Course/📘 Study Resources/,/courses/financial-readiness/study-resources/,11 items flashcards quiz study-guide mind-map podcast.mp3 infographic slide-deck.pdf. emoji to kebab.
RENAME,VUB Financial Readiness Course/📘 Handouts/,/courses/financial-readiness/handouts/,25 items worksheets checklists reference html+pdf. emoji to kebab.
RENAME,VUB Financial Readiness Course/📘 Teacher Guides/,/instructors/teacher-guides/,13 items module1-5 guides + practical-scenarios/tough-questions/step-by-step. emoji to instructors area.
RENAME,VUB Financial Readiness Course/📘 Admin Paperwork/,/instructors/admin-paperwork/,4 items InstructorContract docx+pdf student-upload-instructions.html syllabus-one-page.pdf. NOT in brief; mapped by analogy. UNSURE.
MOVE,VUB Financial Readiness Course/README.md,/courses/financial-readiness/README.md,FR course readme.
MOVE,VUB Financial Readiness Course/START HERE.md,/courses/financial-readiness/START HERE.md,FR onboarding doc.
MOVE,VUB Financial Readiness Course/SATELLITE CLASSROOM SETUP.md,/instructors/satellite-classroom-setup.md,Instructor setup doc to instructors area.
MOVE,VUB Financial Readiness Course/AGENTS.md,/courses/financial-readiness/AGENTS.md,FR-subrepo governance doc (distinct from root AGENTS.md). Collapse decision in M3.
